original_name,cleaned_name,Freq,Notes
Brown-headed Cowbird,,543,
American Robin,,498,
Downy Woodpecker,,469,
Northern Flicker,,446,
Red-eyed Vireo,,443,
Blue Jay,,405,
Great Crested Flycatcher,,393,
Hairy Woodpecker,,393,
Common Yellowthroat,,391,
Eastern Wood-Pewee,,391,
Mourning Dove,,387,
American Crow,,386,
White-breasted Nuthatch,,384,
Ovenbird,,375,
Northern Cardinal,,372,
Black-capped Chickadee,,368,
Scarlet Tanager,,368,
Tufted Titmouse,,368,
Wood Thrush,,368,
American Goldfinch,,318,
Gray Catbird,,311,
Song Sparrow,,311,
Pileated Woodpecker,,305,
Red-bellied Woodpecker,,276,
Rufous-sided Towhee,,275,taxonomy
Veery,,271,
Cedar Waxwing,,263,
American Redstart,,253,
Rose-breasted Grosbeak,,239,
House Wren,,230,
Indigo Bunting,,229,
Northern Oriole,,228,
Chipping Sparrow,,221,
Blue-gray Gnatcatcher,,214,
Carolina Wren,,212,
Red-winged Blackbird,,211,
Common Grackle,,200,
Solitary Vireo,,195,
Acadian Flycatcher,,194,
Black-and-white Warbler,,187,
Yellow Warbler,,187,
Yellow-billed Cuckoo,,186,
House Finch,,183,
Yellow-throated Vireo,,181,
European Starling,,175,
Brown Creeper,,174,
Hermit Thrush,,168,
Eastern Kingbird,,166,
Ruby-throated Hummingbird,,162,
Black-throated Green Warbler,,150,
Red-breasted Nuthatch,,149,
Eastern Phoebe,,148,
Carolina Chickadee,,146,
Red-tailed Hawk,,146,
Barred Owl,,143,
Hooded Warbler,,143,
Yellow-rumped Warbler,,138,
Chestnut-sided Warbler,,136,
Pine Warbler,,131,
Ruffed Grouse,,131,
Wood Duck,,130,
Purple Finch,,127,
Common Raven,,126,
Tree Swallow,,126,
Mallard,,121,
Warbling Vireo,,114,
Dark-eyed Junco,,112,
Northern Parula,,112,
Blackburnian Warbler,,111,
Brown Thrasher,,109,
Great Horned Owl,,108,
Louisiana Waterthrush,,108,
Red-shouldered Hawk,,103,
Broad-winged Hawk,,102,
Winter Wren,,96,taxonomy
Blue-winged Warbler,,95,
White-eyed Vireo,,93,
Kentucky Warbler,,92,
Pine Siskin,,89,
Black-billed Cuckoo,,86,
Barn Swallow,,84,
Summer Tanager,,84,
Turkey Vulture,,84,
Magnolia Warbler,,83,
Field Sparrow,,81,
Black-throated Blue Warbler,,80,
Killdeer,,79,
Northern Mockingbird,,79,
Yellow-bellied Sapsucker,,79,
Canada Warbler,,78,
Great Blue Heron,,78,
Nashville Warbler,,78,
Worm-eating Warbler,,77,
Swainson's Thrush,,76,
Wild Turkey,,76,
Belted Kingfisher,,75,
Cooper's Hawk,,73,
Least Flycatcher,,72,
Chimney Swift,,71,
Golden-crowned Kinglet,,70,
Willow Flycatcher,,69,
Common Crackle,,67,
American Woodcock,,63,
Bewick's Wren,,63,
Black-headed Grosbeak,,63,
Anna's Hummingbird,,59,
Eastern Bluebird,,57,
Bushtit,,56,
Lesser Goldfinch,,56,
Western Tanager,,56,
Canada Goose,,55,
House Sparrow,,55,
Red-headed Woodpecker,,55,
Violet-green Swallow,,54,
Western Wood-Pewee,,54,
Bobolink,,53,
Sharp-shinned Hawk,,53,
Western Meadowlark,,52,
Fish Crow,,51,
Orange-crowned Warbler,,51,
Common Nighthawk,,50,
Scrub Jay,,50,taxonomy
Blue jay,Blue Jay,48,
California Quail,,48,
Grasshopper Sparrow,,48,
Ash-throated Flycatcher,,46,
Orchard Oriole,,46,
Western Bluebird,,46,
Cerulean Warbler,,45,
Mountain Chickadee,,45,
Plain Titmouse,,44,taxonomy
Brownheaded Cowbird,Brown-headed Cowbird,43,
Swamp Sparrow,,43,
Eastern Towhee,,42,
Prothonotary Warbler,,42,
Western Kingbird,,42,
Wilson's Warbler,,42,
American Kestrel,,41,
Redeyed Vireo,Red-eyed Vireo,41,
Yellow-breasted Chat,,41,
Evening Grosbeak,,39,
Nuttall's Woodpecker,,39,
Whitebreasted Nuthatch,White-breasted Nuthatch,37,
Brewer's Blackbird,,36,
Hammond's Flycatcher,,36,
Yellow-throated Warbler,,36,
California Towhee,,35,
Cassin's Finch,,35,
Green-backed Heron,Green Heron,35,
Blackcapped Chickadee,Black-capped Chickadee,34,
White-crowned Sparrow,,34,
White-throated Sparrow,,34,
Wrentit,,34,
Savannah Sparrow,,33,
Steller's Jay,,33,
Eastern WoodPewee,Eastern Wood-Pewee,31,
Marsh Wren,,31,
Northern Harrier,,31,
Red Crossbill,,31,
Upland Sandpiper,,31,
